"","runCount","ValorSeed_1","ValorSeed_2","RegValida"
"1",1,2,4,4973
"2",2,5,7,1849
"3",3,8,10,1129
"4",4,11,13,802
"5",5,14,16,575
"6",6,17,19,478
"7",7,20,22,372
"8",8,23,25,340
"9",9,26,28,321
"10",10,29,31,290
"11",11,32,34,268
"12",12,35,37,240
"13",13,38,40,223
"14",14,41,43,216
"15",15,44,46,201
"16",16,47,49,180
"17",17,50,52,172
"18",18,53,55,165
"19",19,56,58,138
"20",20,59,61,135
"21",21,62,64,133
"22",22,65,67,128
"23",23,68,70,127
"24",24,71,73,125
"25",25,74,76,115
"26",26,77,79,111
"27",27,80,82,111
